Категория,Услуга,Описание,Время (часы),Стоимость MIN ($),Стоимость MAX ($),Примечание
ВЕБ-ПЛАТФОРМА,,,,,
Frontend,Базовая структура и дизайн,"Адаптивный дизайн, главная, регистрация, UI Kit",40-60,800,1500,+$200 за темную тему
Frontend,Функциональность пользователя,"Регистрация, профиль, история, поиск, экспорт",60-80,1200,2000,
Frontend,Фитнес-платформа,"Каталог тренировок, таймер, календарь, статистика",80-120,2000,3500,+$500 трекер питания
Frontend,Инфобизнес платформа,"Курсы, видео-плеер, тесты, сертификаты, вебинары",100-150,2500,4000,
Frontend,Ресторан/Общепит,"Меню, корзина, бронирование, доставка, лояльность",60-100,1500,2800,
Backend,База данных и API,"Firebase/PostgreSQL, REST API, валидация, Rate Limiting",40-60,1000,1800,
Backend,Аутентификация и безопасность,"JWT, Email verification, Password reset, reCAPTCHA",30-40,600,1000,+$300 за 2FA
Backend,Админ-панель,"Дашборд, управление пользователями, рассылки, аналитика",40-60,1000,1800,
Backend,Интеграции,"Email, SMS, платежи, аналитика, карты, видео, CRM",20-40,400,800,За каждую интеграцию
Дополнительно,SEO и маркетинг,"Meta tags, Sitemap, Schema.org, оптимизация скорости",20-30,400,700,
Дополнительно,PWA,"Service Worker, офлайн режим, установка как приложение",15-25,300,600,
Дополнительно,Многоязычность,"i18n, перевод интерфейса, переключатель языков",20-30,400,700,За 2-3 языка
Дополнительно,Юридические документы,"Privacy Policy, Terms, Cookie Policy, GDPR",10-15,200,400,
Тестирование,Тестирование,"Функциональное, кросс-браузерное, безопасность, баги",20-40,400,900,
Деплой,Деплой и настройка,"Домен, SSL, хостинг, CDN, CI/CD, мониторинг",10-20,200,500,
,,,,,
МОБИЛЬНЫЕ ПРИЛОЖЕНИЯ,,,,,
React Native,Базовое приложение,"Регистрация, профиль, основной функционал, push",120-200,3000,6000,iOS + Android
React Native,Расширенное приложение,"+ Камера, датчики, геолокация, IAP, видео, соцсети",200-400,6000,12000,+$2000 за AR
iOS Native,iOS приложение (Swift),"Нативная разработка, Apple Health, Apple Pay, Face ID",150-300,4000,9000,+$1500 за Apple Watch
Android Native,Android приложение (Kotlin),"Нативная разработка, Google Fit, Google Pay, Material",120-250,3500,8000,+$1200 за Wear OS
Публикация,App Store,"Публикация в App Store, модерация",5-10,100,300,$99/год Developer
Публикация,Google Play,"Публикация в Google Play, модерация",3-7,80,200,$25 единоразово
Публикация,RuStore,"Публикация в российском маркете",2-4,50,100,Бесплатно для РФ
Публикация,Альтернативные маркеты,"AppGallery, Galaxy Store, NashStore",2-4,50,100,За каждый маркет
,,,,,
TELEGRAM WEB APP,,,,,
Telegram,Простой бот,"FAQ, команды, заказы",20-40,500,1000,
Telegram,Базовое Web App,"Бот + Web интерфейс, авторизация, меню, функционал",60-100,1500,2500,
Telegram,Расширенное Web App,"+ Inline режим, игры, интеграции, рассылки, админка",100-180,2500,4500,
Telegram,Полноценная платформа,"Максимальный функционал для Telegram",180-300,4500,8000,
,,,,,
ГОТОВЫЕ ПАКЕТЫ,,,,,
Пакет СТАРТ,MVP платформа,"Веб-сайт, регистрация, личный кабинет, админка, email",300-400,3500,6000,1.5-2 месяца
Пакет БИЗНЕС,Полноценная платформа,"+ Telegram App, PWA, SEO, платежи, push, 3 мес поддержки",600-800,8000,15000,3-4 месяца
Пакет ПРЕМИУМ,Веб + Мобильные,"+ React Native, публикация, многоязычность, 6 мес поддержки",1000-1400,18000,35000,5-7 месяцев
Пакет ENTERPRISE,Максимум,"Native iOS+Android, custom backend, CI/CD, 12 мес поддержки",1400-2400,35000,80000,7-12 месяцев
,,,,,
ЕЖЕМЕСЯЧНЫЕ РАСХОДЫ КЛИЕНТА,,,,,
Стартап,До 1000 пользователей,"Домен, бесплатный хостинг",,1,2,/месяц
Малый бизнес,1K-10K пользователей,"Домен, хостинг, email, платежи (3%), облако",,36,100,/месяц
Средний бизнес,10K-100K пользователей,"+ CDN, аналитика, расширенный хостинг",,137,500,/месяц
,,,,,
СЕРВИСЫ (годовые/месячные),,,,,
Хостинг,Vercel Pro,"100K визитов/месяц",,20,,/месяц
Хостинг,Firebase Blaze,"100K+ пользователей",,25,100,/месяц
Хостинг,DigitalOcean VPS,"Выделенный сервер",,12,50,/месяц
Email,EmailJS,"1000 писем/месяц",,9,,/месяц
Email,SendGrid,"50K писем/месяц",,20,,/месяц
Платежи,ЮKassa,"Комиссия за транзакции",,2.8%,3.5%,от суммы
Платежи,Robokassa,"Комиссия за транзакции",,3%,5%,от суммы
Мобильное,Apple Developer,"Обязательно для iOS",,99,,/год
Мобильное,Google Play Console,"Единоразово для Android",,25,,единоразово
Облако,Firebase Storage,"За хранение файлов",,0.026,,/GB
Облако,AWS S3,"За хранение файлов",,0.023,,/GB
,,,,,
ПОДДЕРЖКА,,,,,
Базовая,Исправление багов,"Критичные баги, консультации",,200,400,/месяц
Стандарт,Мелкие доработки,"+ До 5 часов работы/месяц",,500,800,/месяц
Расширенная,Средние доработки,"+ До 15 часов работы/месяц",,1000,1500,/месяц
Полная,Выделенный разработчик,"40 часов/месяц",,2500,4000,/месяц
,,,,,
ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ,,,,,
Маркетинг,Логотип и фирменный стиль,Брендинг,,300,1000,единоразово
Маркетинг,SEO продвижение,Поисковая оптимизация,,500,2000,/месяц
Маркетинг,Контекстная реклама,"Google Ads, Yandex Direct",,300,1000,/месяц + бюджет
Обучение,Обучение работе с админкой,Для клиента,,100,300,единоразово
Консалтинг,Консультация,По масштабированию и развитию,,150,300,/час
Аудит,Аудит безопасности,Проверка уязвимостей,,500,1500,единоразово
